id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes
chant_003923,Abrahae fit promissio quod illius,200045,3?,,*,D-KA Aug. LX,2.1,044r,11.0,,,feast_0281,genre_a,office_m,source_414,,http://cantus.uwaterloo.ca/chant/615804/,Abrahae fit promissio quod illius successio velut harena cresceret stellisque aequalis fieret,Abrahe fit promissio quod illius successio velut harena cresceret stellisque equalis fieret,1---gl--kl--l---l---nl--kj--klk--l---k-k---m--n--o---nm--l--kl--l---l--j---kj--hg--g---gh--gf--f---fh--kj--h---kl-lk--hg7--hkh---g--fg--g---3,
chant_004141,Abscondite eleemosynam in,006012,8,,,D-Mbs Clm 4303,3.2,173r,1.0,,,,genre_r,office_m,source_164,,http://cantus.uwaterloo.ca/chant/373478/,,,1--d-fgh-g-g--g-g-gh-g-g--g,
chant_004336,Absterget deus omnem lacrimam,006013,8,,,US-CHNbcbl 097,1.1,098v,3.0,,,feast_0227,genre_r,office_m,source_069,,http://cantus.uwaterloo.ca/chant/666197/,Absterget deus omnem lacrimam,,1--g--gh--jkjh-kh---jkjh-ghj--hgh-hg---g--gh---,
chant_004423,Absterget deus omnem lacrimam ab,006013,8,,,F-Pn lat. 15181,1.1,515v,1.0,,,feast_0227,genre_r,office_m,source_447,,http://cantus.uwaterloo.ca/chant/412726/,Absterget deus omnem lacrimam ab oculis sanctorum et jam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,Absterget deus omnem lacrimam ab oculis sanctorum et iam non erit amplius neque luctus neque clamor sed nec ullus dolor | Quoniam priora transierunt,1---g--ghkjh--kh-jkjhg7---ghkhj--hg---g--gh---hhg--f--fg-hhg7---g---gh--g--g---gfdf--egff--fe---g---ghgf--gh777---gh---g--gh-jkjh-jkjh---hF--ghkhj--hg---kj7--k---klml--lkj-kjh-jh---jk-lk--kkjhg7---gkhgh--gf---h---gf---g--hk---kijjhj--jh7---3---h--g--hgh---fg--ghgfg--fgfed---fE--fg--ghkhj7--hg---4,
chant_004449,Absterget deus omnem lacrimam ab,001212,7,,*,D-KA Aug. LX,2M,169v,18.0,,,feast_0227,genre_a,office_v,source_414,,http://cantus.uwaterloo.ca/chant/618498/,Absterget deus omnem lacrimam ab oculis sanctorum et jam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,Absterget deus omnem lacrimam ab oculis sanctorum et iam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,1---g--gkJ--k---l--kj---h--j---kl--khg--g---h---g--f--hjkjhg---hk--g--g---g---gkj---k---l--lml---kJ--kl--l---n--n77---m--l---m--lm---nlk--jkhg---k---k--lk---hG--hk---g--g---h--g--f---hk--jh--jkj---hG--hkh--g--g7---3,
chant_004455,Absterget deus omnem lacrimam ab,001212,7,,A1,CH-E 611,1B,258r,6.0,,,feast_0227,genre_a,office_l,source_564,,http://cantus.uwaterloo.ca/chant/233122/,Absterget deus omnem lacrimam ab oculis sanctorum et jam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,Absterget deus omnem lacrimam ab oculis sanctorum et iam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt | euouae,1---g--gkH--k---l--kj---h--k7---kl--khg--g---h---g--f--hjkjhg---hkJ--g--g---g---gkj---k---l--lml---kH--kl--l---n--n---m7--l---m--lm---nlk--khg---j---klk---hG--hk---g--g---h--g--f---hk--kh--jkH---hG--hjh--g--g7---4---l--l--m--l--k--jh---3,
chant_004610,Abundantius enim aemulator,006147a,3,,,DK-Kk 3449 8o IX,01,088r,1.0,,,feast_1321,genre_v,office_m,source_325,,http://cantus.uwaterloo.ca/chant/313238/,,,1--k-k-klkk-hjkj-hg--jk-h--h-h-hg-h-,
chant_004827,Accedentes discipuli sancti Joannis Baptistae,006014,1,,,D-KA Aug. LX,3.4,140r,3.0,,,feast_0360,genre_r,office_m,source_414,,http://cantus.uwaterloo.ca/chant/617893/,Accedentes discipuli sancti Joannis Baptistae tulerunt corpus ejus et sepelierunt illud,Accedentes discipuli sancti iohannis baptiste tulerunt corpus eius | et sepelierunt illud,1--c--d--fd-hkJ--h---h--gfg--ijhg--hj-h---fe-fE--f---f--ghg-fe--fg---ghgfe-fgfe--ddfe-f--ed---d--fgh--g---g--gh---h--gfe-fgf-gh7---3---c---d--fe--f--gh--fe---dc-d-fef--ed---4,
chant_004863,Accedite ad eum et illuminamini,g01162a,5,,,CH-P 18,,129,5.0,,,feast_0673,genre_grv,office_mi,source_547,,http://cantus.uwaterloo.ca/chant/642103/,Accedite ad eum et illuminamini et facies vestrae non confundentur,Accedite ad eum et illuminamini et facies vestrae non confundentur,1---f--f--h--kjh-kjg-hh-fg-hkhg-hgfg-hk-lk-lk-lmk---k77---lk-nnklk-mnlk--kjkjh---h---k--l--l--ln--lk--klkk-hjh---h---k--k--j---k--h---fh---gkjk7--h--fg--fghgh-klj-kkh-fhg-hg-gf---3,
chant_004891,Accende lumen sensibus infunde amorem,008407c,,,,NL-Uu 406 (3 J 7),,115v,6.0,,,feast_0467,genre_hv,office_v,source_573,,http://cantus.uwaterloo.ca/chant/670613/,Accende lumen sensibus infunde amorem cordibus infirma nostri corporis virtute firmans perpetim,Accende lumen sensibus infunde amorem cordibus infir {ma nostri} corporis virtute firmans perpetim,1---g--hG--gf---g--h---k--l--k---k--kJ--g---h--k--lK---l--m--l---k--lm---6------67---g--h--k---jkJ--h--gf---h--hkh---gF--fg--g---3,
